country,scenario,year,exposure,value,,scenario,year,exposure,value,,scenario,year,exposure,value
USA,ssp126,2021,tasmax,29.468505,,ssp370,2021,tasmax,29.404905,,ssp585,2021,tasmax,29.77208
USA,ssp126,2022,tasmax,29.570145,,ssp370,2022,tasmax,29.455815,,ssp585,2022,tasmax,29.8076
USA,ssp126,2023,tasmax,29.637835,,ssp370,2023,tasmax,29.493405,,ssp585,2023,tasmax,29.895355
USA,ssp126,2024,tasmax,29.6384,,ssp370,2024,tasmax,29.52591,,ssp585,2024,tasmax,29.999195
USA,ssp126,2025,tasmax,29.56624,,ssp370,2025,tasmax,29.546875,,ssp585,2025,tasmax,29.97554
USA,ssp126,2026,tasmax,29.631335,,ssp370,2026,tasmax,29.568165,,ssp585,2026,tasmax,30.00821
USA,ssp126,2027,tasmax,29.75104,,ssp370,2027,tasmax,29.638075,,ssp585,2027,tasmax,29.97537
USA,ssp126,2028,tasmax,29.731475,,ssp370,2028,tasmax,29.66043,,ssp585,2028,tasmax,30.028765
USA,ssp126,2029,tasmax,29.82396,,ssp370,2029,tasmax,29.769105,,ssp585,2029,tasmax,30.162415
USA,ssp126,2030,tasmax,29.74487,,ssp370,2030,tasmax,29.668075,,ssp585,2030,tasmax,30.154965
USA,ssp126,2031,tasmax,29.701295,,ssp370,2031,tasmax,29.717135,,ssp585,2031,tasmax,30.076995
USA,ssp126,2032,tasmax,29.806105,,ssp370,2032,tasmax,29.836425,,ssp585,2032,tasmax,30.17395
USA,ssp126,2033,tasmax,29.82651,,ssp370,2033,tasmax,29.9348,,ssp585,2033,tasmax,30.252215
USA,ssp126,2034,tasmax,29.861985,,ssp370,2034,tasmax,29.881575,,ssp585,2034,tasmax,30.286225
USA,ssp126,2035,tasmax,29.93898,,ssp370,2035,tasmax,29.90523,,ssp585,2035,tasmax,30.388625
USA,ssp126,2036,tasmax,29.88231,,ssp370,2036,tasmax,29.910125,,ssp585,2036,tasmax,30.390185
USA,ssp126,2037,tasmax,29.90671,,ssp370,2037,tasmax,29.955825,,ssp585,2037,tasmax,30.49414
USA,ssp126,2038,tasmax,29.986805,,ssp370,2038,tasmax,30.063265,,ssp585,2038,tasmax,30.495335
USA,ssp126,2039,tasmax,29.98625,,ssp370,2039,tasmax,30.073975,,ssp585,2039,tasmax,30.54637
USA,ssp126,2040,tasmax,30.015335,,ssp370,2040,tasmax,30.10196,,ssp585,2040,tasmax,30.60768
USA,ssp126,2041,tasmax,30.043885,,ssp370,2041,tasmax,30.140535,,ssp585,2041,tasmax,30.616915
USA,ssp126,2042,tasmax,30.075665,,ssp370,2042,tasmax,30.215085,,ssp585,2042,tasmax,30.674725
USA,ssp126,2043,tasmax,30.09642,,ssp370,2043,tasmax,30.25824,,ssp585,2043,tasmax,30.65503
USA,ssp126,2044,tasmax,30.076735,,ssp370,2044,tasmax,30.322145,,ssp585,2044,tasmax,30.850035
USA,ssp126,2045,tasmax,30.137085,,ssp370,2045,tasmax,30.37637,,ssp585,2045,tasmax,30.862485
USA,ssp126,2046,tasmax,30.16089,,ssp370,2046,tasmax,30.414075,,ssp585,2046,tasmax,30.976485
USA,ssp126,2047,tasmax,30.061065,,ssp370,2047,tasmax,30.533735,,ssp585,2047,tasmax,30.939455
USA,ssp126,2048,tasmax,30.16916,,ssp370,2048,tasmax,30.523925,,ssp585,2048,tasmax,31.02777
USA,ssp126,2049,tasmax,30.189455,,ssp370,2049,tasmax,30.51509,,ssp585,2049,tasmax,31.109175
USA,ssp126,2050,tasmax,30.136275,,ssp370,2050,tasmax,30.568875,,ssp585,2050,tasmax,31.04219
USA,ssp126,2051,tasmax,30.2068,,ssp370,2051,tasmax,30.66002,,ssp585,2051,tasmax,31.0735
USA,ssp126,2052,tasmax,30.13753,,ssp370,2052,tasmax,30.53662,,ssp585,2052,tasmax,31.16559
USA,ssp126,2053,tasmax,30.05261,,ssp370,2053,tasmax,30.675065,,ssp585,2053,tasmax,31.27443
USA,ssp126,2054,tasmax,30.18646,,ssp370,2054,tasmax,30.731875,,ssp585,2054,tasmax,31.23802
USA,ssp126,2055,tasmax,30.122175,,ssp370,2055,tasmax,30.737765,,ssp585,2055,tasmax,31.26924
USA,ssp126,2056,tasmax,30.16954,,ssp370,2056,tasmax,30.785385,,ssp585,2056,tasmax,31.418505
USA,ssp126,2057,tasmax,30.19719,,ssp370,2057,tasmax,30.85924,,ssp585,2057,tasmax,31.492705
USA,ssp126,2058,tasmax,30.179335,,ssp370,2058,tasmax,30.90152,,ssp585,2058,tasmax,31.455475
USA,ssp126,2059,tasmax,30.2361,,ssp370,2059,tasmax,30.933275,,ssp585,2059,tasmax,31.538635
USA,ssp126,2060,tasmax,30.16481,,ssp370,2060,tasmax,30.94423,,ssp585,2060,tasmax,31.586225
USA,ssp126,2061,tasmax,30.164565,,ssp370,2061,tasmax,31.02086,,ssp585,2061,tasmax,31.66846
USA,ssp126,2062,tasmax,30.221605,,ssp370,2062,tasmax,31.016925,,ssp585,2062,tasmax,31.724795
USA,ssp126,2063,tasmax,30.218125,,ssp370,2063,tasmax,31.131745,,ssp585,2063,tasmax,31.75261
USA,ssp126,2064,tasmax,30.165085,,ssp370,2064,tasmax,31.14766,,ssp585,2064,tasmax,31.7749
USA,ssp126,2065,tasmax,30.269025,,ssp370,2065,tasmax,31.26793,,ssp585,2065,tasmax,31.86388
USA,ssp126,2066,tasmax,30.28917,,ssp370,2066,tasmax,31.261415,,ssp585,2066,tasmax,31.96922
USA,ssp126,2067,tasmax,30.15123,,ssp370,2067,tasmax,31.36772,,ssp585,2067,tasmax,32.07274
USA,ssp126,2068,tasmax,30.24672,,ssp370,2068,tasmax,31.389725,,ssp585,2068,tasmax,32.135285
USA,ssp126,2069,tasmax,30.246995,,ssp370,2069,tasmax,31.3676,,ssp585,2069,tasmax,32.05974
USA,ssp126,2070,tasmax,30.242415,,ssp370,2070,tasmax,31.528825,,ssp585,2070,tasmax,32.21881
USA,ssp126,2071,tasmax,30.27118,,ssp370,2071,tasmax,31.507735,,ssp585,2071,tasmax,32.34735
USA,ssp126,2072,tasmax,30.12433,,ssp370,2072,tasmax,31.564145,,ssp585,2072,tasmax,32.34572
USA,ssp126,2073,tasmax,30.29855,,ssp370,2073,tasmax,31.5616,,ssp585,2073,tasmax,32.339355
USA,ssp126,2074,tasmax,30.17549,,ssp370,2074,tasmax,31.588505,,ssp585,2074,tasmax,32.459975
USA,ssp126,2075,tasmax,30.22261,,ssp370,2075,tasmax,31.75833,,ssp585,2075,tasmax,32.50714
USA,ssp126,2076,tasmax,30.219145,,ssp370,2076,tasmax,31.711485,,ssp585,2076,tasmax,32.56485
USA,ssp126,2077,tasmax,30.21007,,ssp370,2077,tasmax,31.73198,,ssp585,2077,tasmax,32.516635
USA,ssp126,2078,tasmax,30.28557,,ssp370,2078,tasmax,31.75232,,ssp585,2078,tasmax,32.69249
USA,ssp126,2079,tasmax,30.22789,,ssp370,2079,tasmax,31.873445,,ssp585,2079,tasmax,32.73302
USA,ssp126,2080,tasmax,30.214815,,ssp370,2080,tasmax,31.97203,,ssp585,2080,tasmax,32.795015
USA,ssp126,2081,tasmax,30.30614,,ssp370,2081,tasmax,31.919525,,ssp585,2081,tasmax,32.84842
USA,ssp126,2082,tasmax,30.179445,,ssp370,2082,tasmax,32.071,,ssp585,2082,tasmax,32.89769
USA,ssp126,2083,tasmax,30.185515,,ssp370,2083,tasmax,32.0139,,ssp585,2083,tasmax,33.038545
USA,ssp126,2084,tasmax,30.25992,,ssp370,2084,tasmax,32.150955,,ssp585,2084,tasmax,33.13945
USA,ssp126,2085,tasmax,30.279145,,ssp370,2085,tasmax,32.218505,,ssp585,2085,tasmax,33.11833
USA,ssp126,2086,tasmax,30.17331,,ssp370,2086,tasmax,32.253675,,ssp585,2086,tasmax,33.15648
USA,ssp126,2087,tasmax,30.241255,,ssp370,2087,tasmax,32.229555,,ssp585,2087,tasmax,33.21213
USA,ssp126,2088,tasmax,30.18544,,ssp370,2088,tasmax,32.370145,,ssp585,2088,tasmax,33.296385
USA,ssp126,2089,tasmax,30.17488,,ssp370,2089,tasmax,32.34302,,ssp585,2089,tasmax,33.34897
USA,ssp126,2090,tasmax,30.18303,,ssp370,2090,tasmax,32.390045,,ssp585,2090,tasmax,33.42888
USA,ssp126,2091,tasmax,30.21292,,ssp370,2091,tasmax,32.430785,,ssp585,2091,tasmax,33.542815
USA,ssp126,2092,tasmax,30.195985,,ssp370,2092,tasmax,32.53949,,ssp585,2092,tasmax,33.575395
USA,ssp126,2093,tasmax,30.159545,,ssp370,2093,tasmax,32.526565,,ssp585,2093,tasmax,33.637255
USA,ssp126,2094,tasmax,30.187655,,ssp370,2094,tasmax,32.62549,,ssp585,2094,tasmax,33.60312
