country,scenario,year,exposure,value,,scenario,year,exposure,value,,scenario,year,exposure,value
Brazil,ssp126,2021,tas,24.07416,,ssp370,2021,tas,24.088575,,ssp585,2021,tas,24.406065
Brazil,ssp126,2022,tas,24.247775,,ssp370,2022,tas,24.184385,,ssp585,2022,tas,24.37671
Brazil,ssp126,2023,tas,24.28551,,ssp370,2023,tas,24.222565,,ssp585,2023,tas,24.46469
Brazil,ssp126,2024,tas,24.33395,,ssp370,2024,tas,24.29602,,ssp585,2024,tas,24.578555
Brazil,ssp126,2025,tas,24.35257,,ssp370,2025,tas,24.228605,,ssp585,2025,tas,24.55121
Brazil,ssp126,2026,tas,24.420285,,ssp370,2026,tas,24.36435,,ssp585,2026,tas,24.582075
Brazil,ssp126,2027,tas,24.2836,,ssp370,2027,tas,24.36371,,ssp585,2027,tas,24.642775
Brazil,ssp126,2028,tas,24.34204,,ssp370,2028,tas,24.335035,,ssp585,2028,tas,24.77852
Brazil,ssp126,2029,tas,24.390015,,ssp370,2029,tas,24.369965,,ssp585,2029,tas,24.684235
Brazil,ssp126,2030,tas,24.461225,,ssp370,2030,tas,24.30339,,ssp585,2030,tas,24.75598
Brazil,ssp126,2031,tas,24.4155,,ssp370,2031,tas,24.39052,,ssp585,2031,tas,24.73178
Brazil,ssp126,2032,tas,24.44281,,ssp370,2032,tas,24.58008,,ssp585,2032,tas,24.89313
Brazil,ssp126,2033,tas,24.461865,,ssp370,2033,tas,24.56642,,ssp585,2033,tas,24.87468
Brazil,ssp126,2034,tas,24.584735,,ssp370,2034,tas,24.602965,,ssp585,2034,tas,24.95691
Brazil,ssp126,2035,tas,24.5466,,ssp370,2035,tas,24.67099,,ssp585,2035,tas,24.93552
Brazil,ssp126,2036,tas,24.589235,,ssp370,2036,tas,24.65198,,ssp585,2036,tas,25.06552
Brazil,ssp126,2037,tas,24.594525,,ssp370,2037,tas,24.740525,,ssp585,2037,tas,25.047605
Brazil,ssp126,2038,tas,24.512405,,ssp370,2038,tas,24.69118,,ssp585,2038,tas,25.183515
Brazil,ssp126,2039,tas,24.569885,,ssp370,2039,tas,24.815555,,ssp585,2039,tas,25.224605
Brazil,ssp126,2040,tas,24.619435,,ssp370,2040,tas,24.925325,,ssp585,2040,tas,25.163755
Brazil,ssp126,2041,tas,24.68547,,ssp370,2041,tas,24.87398,,ssp585,2041,tas,25.28256
Brazil,ssp126,2042,tas,24.65851,,ssp370,2042,tas,24.925815,,ssp585,2042,tas,25.2854
Brazil,ssp126,2043,tas,24.77042,,ssp370,2043,tas,25.12921,,ssp585,2043,tas,25.337785
Brazil,ssp126,2044,tas,24.74213,,ssp370,2044,tas,24.98386,,ssp585,2044,tas,25.31247
Brazil,ssp126,2045,tas,24.63414,,ssp370,2045,tas,25.0898,,ssp585,2045,tas,25.51294
Brazil,ssp126,2046,tas,24.68225,,ssp370,2046,tas,25.15872,,ssp585,2046,tas,25.522795
Brazil,ssp126,2047,tas,24.85411,,ssp370,2047,tas,25.17493,,ssp585,2047,tas,25.47304
Brazil,ssp126,2048,tas,24.917385,,ssp370,2048,tas,25.2148,,ssp585,2048,tas,25.74469
Brazil,ssp126,2049,tas,24.70752,,ssp370,2049,tas,25.35733,,ssp585,2049,tas,25.747605
Brazil,ssp126,2050,tas,24.87941,,ssp370,2050,tas,25.33545,,ssp585,2050,tas,25.823045
Brazil,ssp126,2051,tas,24.87108,,ssp370,2051,tas,25.392105,,ssp585,2051,tas,25.77695
Brazil,ssp126,2052,tas,24.95955,,ssp370,2052,tas,25.492465,,ssp585,2052,tas,25.935225
Brazil,ssp126,2053,tas,24.817215,,ssp370,2053,tas,25.539995,,ssp585,2053,tas,25.95364
Brazil,ssp126,2054,tas,24.839145,,ssp370,2054,tas,25.53853,,ssp585,2054,tas,25.92059
Brazil,ssp126,2055,tas,24.80493,,ssp370,2055,tas,25.562745,,ssp585,2055,tas,26.161345
Brazil,ssp126,2056,tas,24.94017,,ssp370,2056,tas,25.736115,,ssp585,2056,tas,26.14735
Brazil,ssp126,2057,tas,24.924025,,ssp370,2057,tas,25.74684,,ssp585,2057,tas,26.11882
Brazil,ssp126,2058,tas,24.74791,,ssp370,2058,tas,25.80249,,ssp585,2058,tas,26.15576
Brazil,ssp126,2059,tas,24.863325,,ssp370,2059,tas,25.70944,,ssp585,2059,tas,26.20204
Brazil,ssp126,2060,tas,25.0022,,ssp370,2060,tas,25.879075,,ssp585,2060,tas,26.42192
Brazil,ssp126,2061,tas,24.903015,,ssp370,2061,tas,25.96727,,ssp585,2061,tas,26.42979
Brazil,ssp126,2062,tas,25.087815,,ssp370,2062,tas,25.894455,,ssp585,2062,tas,26.4308
Brazil,ssp126,2063,tas,24.991605,,ssp370,2063,tas,25.871415,,ssp585,2063,tas,26.42343
Brazil,ssp126,2064,tas,25.038055,,ssp370,2064,tas,25.964385,,ssp585,2064,tas,26.54909
Brazil,ssp126,2065,tas,25.03572,,ssp370,2065,tas,26.095015,,ssp585,2065,tas,26.654555
Brazil,ssp126,2066,tas,24.92859,,ssp370,2066,tas,26.005555,,ssp585,2066,tas,26.65623
Brazil,ssp126,2067,tas,25.01216,,ssp370,2067,tas,26.19121,,ssp585,2067,tas,26.78354
Brazil,ssp126,2068,tas,24.880995,,ssp370,2068,tas,26.21431,,ssp585,2068,tas,26.839535
Brazil,ssp126,2069,tas,24.910155,,ssp370,2069,tas,26.37758,,ssp585,2069,tas,26.838305
Brazil,ssp126,2070,tas,24.924045,,ssp370,2070,tas,26.42662,,ssp585,2070,tas,27.074415
Brazil,ssp126,2071,tas,24.97525,,ssp370,2071,tas,26.49591,,ssp585,2071,tas,27.100475
Brazil,ssp126,2072,tas,24.87485,,ssp370,2072,tas,26.46339,,ssp585,2072,tas,27.00145
Brazil,ssp126,2073,tas,24.975265,,ssp370,2073,tas,26.538925,,ssp585,2073,tas,27.23465
Brazil,ssp126,2074,tas,24.96492,,ssp370,2074,tas,26.53679,,ssp585,2074,tas,27.24062
Brazil,ssp126,2075,tas,24.79904,,ssp370,2075,tas,26.68042,,ssp585,2075,tas,27.294465
Brazil,ssp126,2076,tas,24.934785,,ssp370,2076,tas,26.64073,,ssp585,2076,tas,27.33731
Brazil,ssp126,2077,tas,24.93089,,ssp370,2077,tas,26.782545,,ssp585,2077,tas,27.362975
Brazil,ssp126,2078,tas,24.931335,,ssp370,2078,tas,26.91893,,ssp585,2078,tas,27.56982
Brazil,ssp126,2079,tas,25.0204,,ssp370,2079,tas,26.87471,,ssp585,2079,tas,27.631345
Brazil,ssp126,2080,tas,24.94458,,ssp370,2080,tas,26.91478,,ssp585,2080,tas,27.725665
Brazil,ssp126,2081,tas,24.986925,,ssp370,2081,tas,26.9328,,ssp585,2081,tas,27.8452
Brazil,ssp126,2082,tas,24.921645,,ssp370,2082,tas,27.00519,,ssp585,2082,tas,27.85211
Brazil,ssp126,2083,tas,24.892075,,ssp370,2083,tas,27.11314,,ssp585,2083,tas,28.048735
Brazil,ssp126,2084,tas,24.919205,,ssp370,2084,tas,27.174015,,ssp585,2084,tas,28.08374
Brazil,ssp126,2085,tas,24.93886,,ssp370,2085,tas,27.286775,,ssp585,2085,tas,28.126295
Brazil,ssp126,2086,tas,24.95673,,ssp370,2086,tas,27.21373,,ssp585,2086,tas,28.15947
Brazil,ssp126,2087,tas,25.003085,,ssp370,2087,tas,27.315095,,ssp585,2087,tas,28.255415
Brazil,ssp126,2088,tas,24.908585,,ssp370,2088,tas,27.281525,,ssp585,2088,tas,28.419755
Brazil,ssp126,2089,tas,24.94002,,ssp370,2089,tas,27.283705,,ssp585,2089,tas,28.364715
Brazil,ssp126,2090,tas,24.985185,,ssp370,2090,tas,27.49313,,ssp585,2090,tas,28.51068
Brazil,ssp126,2091,tas,24.859235,,ssp370,2091,tas,27.58537,,ssp585,2091,tas,28.597975
Brazil,ssp126,2092,tas,24.923355,,ssp370,2092,tas,27.74956,,ssp585,2092,tas,28.65117
Brazil,ssp126,2093,tas,24.804595,,ssp370,2093,tas,27.675065,,ssp585,2093,tas,28.68947
Brazil,ssp126,2094,tas,24.880185,,ssp370,2094,tas,27.75482,,ssp585,2094,tas,28.79993
Brazil,ssp126,2095,tas,24.90216,,ssp370,2095,tas,27.84888,,ssp585,2095,tas,28.883285
Brazil,ssp126,2096,tas,25.008105,,ssp370,2096,tas,27.900165,,ssp585,2096,tas,28.977765
Brazil,ssp126,2097,tas,24.917085,,ssp370,2097,tas,27.996505,,ssp585,2097,tas,29.060455
Brazil,ssp126,2098,tas,24.86789,,ssp370,2098,tas,28.02031,,ssp585,2098,tas,29.21321
Brazil,ssp126,2099,tas,24.82863,,ssp370,2099,tas,28.11386,,ssp585,2099,tas,29.26303
Brazil,ssp126,2100,tas,24.879765,,ssp370,2100,tas,28.18506,,ssp585,2100,tas,29.24954
Brazil,ssp126,2021,tasmax,28.431745,,ssp370,2020,tasmax,28.41591,,ssp585,2020,tasmax,29.626905
Brazil,ssp126,2022,tasmax,28.68646,,ssp370,2021,tasmax,28.489515,,ssp585,2021,tasmax,29.68129
Brazil,ssp126,2023,tasmax,28.682815,,ssp370,2022,tasmax,28.661435,,ssp585,2022,tasmax,29.653015
Brazil,ssp126,2024,tasmax,28.77301,,ssp370,2023,tasmax,28.692595,,ssp585,2023,tasmax,29.830995
Brazil,ssp126,2025,tasmax,28.65724,,ssp370,2024,tasmax,28.699905,,ssp585,2024,tasmax,29.787065
Brazil,ssp126,2026,tasmax,28.79277,,ssp370,2025,tasmax,28.61998,,ssp585,2025,tasmax,29.7419
Brazil,ssp126,2027,tasmax,28.732165,,ssp370,2026,tasmax,28.818815,,ssp585,2026,tasmax,29.879285
Brazil,ssp126,2028,tasmax,28.698915,,ssp370,2027,tasmax,28.880675,,ssp585,2027,tasmax,29.90085
Brazil,ssp126,2029,tasmax,28.819685,,ssp370,2028,tasmax,28.7982,,ssp585,2028,tasmax,30.14766
Brazil,ssp126,2030,tasmax,28.855225,,ssp370,2029,tasmax,28.834595,,ssp585,2029,tasmax,29.99448
Brazil,ssp126,2031,tasmax,28.80504,,ssp370,2030,tasmax,28.68997,,ssp585,2030,tasmax,30.03964
Brazil,ssp126,2032,tasmax,28.863145,,ssp370,2031,tasmax,28.8145,,ssp585,2031,tasmax,30.05302
Brazil,ssp126,2033,tasmax,28.895495,,ssp370,2032,tasmax,28.979935,,ssp585,2032,tasmax,30.25508
