,RioGrande del sol,,,,,,,RioGrande Rivera,,,,,,,Santa Catarina,,,,,,,Parana,,,,,,,AVG,,,,,,,,
YEAR,Days>95,CumTmax,CumTmax(oC),CumTmin,Cum Rain,days of rain,,Days>95,CumTmax,CumTmax,CumTmin,Cum Rain,daysof rain,,Days>95,CumTmax,CumTmax,CumTmin,Cum Rain,daysof rain,,Days>95,CumTmax,CumTmax,CumTmin,Cum Rain,daysofrain,,Days>95,CumTmax,CumTmax,CumTmin,Cum Rain,Cum Rain (cm),DaysofRain,,
1999,0,5448.7,1853.722222,4575.9,,,,1,5613,1945,4381.3,,,,19,6046.6,2185.888889,4474.1,,,,4,5975.6,2146.444444,4519.8,,,,6.00,5770.98,2032.76,4487.78,,,,,
2000,1,5499.6,1908,4475.4,,,,3,5479.1,1899.388889,4366.9,,,,22,6044.6,2184.777778,4502.5,4.81,9,,12,5970.4,2143.555556,4562,7.84,14,,9.50,5748.43,2033.93,4476.70,6.33,16.07,11.50,,
2001,5,5643.6,1962,4644.6,,,,0,5597.1,1936.166667,4560.9,,,,14,5938.6,2125.888889,4684.9,9.99,9,,4,5915,2112.777778,4643,11.76,16,,5.75,5773.58,2034.21,4633.35,10.88,27.62,12.50,,
2002,1,5434.8,1846,4459.2,,,,5,5717.6,2003.111111,4230.6,8.74,18,,22,6024.8,2173.777778,4448.5,,,,3,5867.4,2083.333333,4443.7,8.44,8,,7.75,5761.15,2026.56,4395.50,8.59,21.82,13.00,,
2003,3,5629.2,1954,4515,,,,8,5765.3,2029.611111,4363.8,8.31,22,,21,5995.3,2157.388889,4523.4,14.29,20,,13,5972.8,2144.888889,4594.2,11.39,21,,11.25,5840.65,2071.47,4499.10,11.33,28.78,21.00,,
2004,0,5508.6,1910,4419.6,,,,3,5746.4,2043.388889,4226.4,5.7,10,,12,5992.6,2182.388889,4406.9,,,,7,6006.2,2193.444444,4427,6.91,13,,5.50,5813.45,2082.31,4369.98,6.31,16.01,11.50,,
2005,2,5562.6,1917,4459.2,,,,17,5967.5,2141.944444,4317.3,3.71,8,,30,6148.3,2242.388889,4491.1,3.55,9,,17,6085.1,2207.277778,4503.8,9.92,13,,16.50,5940.88,2127.15,4442.85,5.73,14.55,10.00,,
2006,4,5650.8,1966,4464.6,,,,12,5930.9,2121.611111,4347.9,3.2,8,,31,6169.4,2254.111111,4556.5,,,,18,6038.6,2181.444444,4554.3,14.8,22,,16.25,5947.43,2130.79,4480.83,9.00,22.86,15.00,,
2007,8,5780.4,2038,4583.4,,,,6,5810.3,2054.611111,4337,5.91,11,,17,5988.4,2153.555556,4576.7,10.49,16,,3,5937.4,2125.222222,4629.7,16.1,22,,8.50,5879.13,2092.85,4531.70,10.83,27.52,16.33,,
2008,8,5524.8,1929,4477.2,,,,8,5799.8,2083.388889,4326.1,7.81,20,,18,5974.2,2216.055556,4480.7,10.01,14,,4,5903.1,2169.166667,4467.7,7.5,12,,9.50,5800.48,2099.40,4437.93,8.44,21.44,15.33,,
2009,1,5305.2,1774,4405.2,,,,6,5831.2,2066.222222,4291.2,11.84,15,,19,6033.3,2178.5,4495.4,5.57,15,,7,5942.4,2128,4502.7,13.02,22,,8.25,5778.03,2036.68,4423.63,10.14,25.76,17.33,,
2010,1,5551.8,1911,4543.8,,,,5,5714.3,2001.277778,4359.6,19.54,19,,10,5904.4,2106.888889,4613.8,12.64,15,,10,5957,2136.111111,4619,9.29,12,,6.50,5781.88,2038.82,4534.05,13.82,35.11,15.33,,
2011,2,5535.6,1902,4641,,,,7,5860,2082.222222,4376.2,,,,16,5974,2145.555556,4583.7,6.7,13,,2,5883.6,2095.333333,4620.6,11.1,20,,6.75,5813.30,2056.28,4555.38,8.90,22.61,16.50,,
2012,1,5400.6,1849,4459.2,,,,19,5978.8,2176.833333,4332.8,7.66,15,,32,6195.4,2299.333333,4598.3,5.39,12,,29,6133.7,2234.277778,4518.3,6.5,11,,20.25,5927.13,2139.86,4477.15,6.52,16.55,12.67,,
2013,0,5359.2,1804,4371,,,,3,5584.1,1928.944444,4165.1,10.19,19,,9,5814.5,2056.944444,4414.4,17.75,17,,7,5958.1,2136.722222,4437.2,16.85,23,,4.75,5678.98,1981.65,4346.93,14.93,37.92,19.67,,
2014,11,5622,1950,4687.8,,,,16,5837.4,2069.666667,4432.5,12.65,24,,33,6053.7,2189.833333,4619.3,13.98,17,,23,6067.1,2197.277778,4574.6,11.27,22,,20.75,5895.05,2101.69,4578.55,12.63,32.09,21.00,,
2015,2,5607.6,1942,4561.8,,,,2,5742.6,2017,4356,16.98,18,,10,5925.2,2118.444444,4574.6,20.02,22,,10,6000.4,2160.222222,4608.4,20.08,27,,6.00,5818.95,2059.42,4525.20,19.03,48.33,22.33,,
2016,6,5699.4,2021,4515,,,,3,5705.5,2023.666667,4298.3,9.29,16,,22,5998.8,2189.722222,4603.7,8.7,20,,16,6008.1,2195.277778,4675.4,14.29,23,,11.75,5852.95,2107.42,4523.10,10.76,27.33,19.67,,
2017,6,5773.2,2034,4711.2,,,,1,5750.4,2021.333333,4313.5,20.2,24,,10,5947.8,2131,4606.5,17.43,20,,12,5982.5,2150.277778,4574.5,18.04,24,,7.25,5863.48,2084.15,4551.43,18.56,47.13,22.67,,
2018,3,5571.6,1922,4452,,,,4,5794.1,2045.611111,4289.7,7.24,24,,14,5994.2,2156.777778,4511.5,8.79,17,,3,5855.2,2079.555556,4526.3,20.93,27,,6.00,5803.78,2050.99,4444.88,12.32,31.29,22.67,,
2019,7,5622,1950,4606.8,,,,8,5717.6,2003.111111,4325,20.46,25,,16,5876,2091.111111,4544.8,27.69,23,,27,6126.8,2230.444444,4586.4,9.65,17,,14.50,5835.60,2068.67,4515.75,19.27,48.94,21.67,,
2020,12,5809.2,2054,4614,,,,7,5832.5,2108.388889,4275.3,5.08,8,,20,5994.2,2190.277778,4457.3,6.95,10,,6,6007.6,2199.222222,4561.6,10.72,18,,11.25,5910.88,2137.97,4477.05,7.58,19.26,12.00,,
2021,2,5521.2,1894,4864.2,,,,2,5650.6,1985.611111,4295.3,21.28,15,,4,5935.7,2124.277778,4450.6,9.21,14,,6,5818.3,2059.055556,4509.1,22.27,25,,3.50,5731.45,2015.74,4529.80,17.59,44.67,18.00,,
2022,12,5823.6,2062,4885.8,,,,16,5907.3,2108.5,4514.8,8.75,19,,44,6424.6,2395.888889,4655.2,3.38,10,,36,6329.1,2342.833333,4632.4,9.56,13,,27.00,6121.15,2227.31,4672.05,7.23,18.36,14.00,,
