country,scenario,year,exposure,value,,scenario,year,exposure,value,,scenario,year,exposure,value
China,ssp126,2021,tasmax,24.00682,,ssp370,2021,tasmax,24.061185,,ssp585,2021,tasmax,24.692855
China,ssp126,2022,tasmax,23.9778,,ssp370,2022,tasmax,24.11206,,ssp585,2022,tasmax,24.58185
China,ssp126,2023,tasmax,24.046525,,ssp370,2023,tasmax,24.20967,,ssp585,2023,tasmax,24.63965
China,ssp126,2024,tasmax,24.05975,,ssp370,2024,tasmax,24.217545,,ssp585,2024,tasmax,24.770615
China,ssp126,2025,tasmax,24.18686,,ssp370,2025,tasmax,24.317325,,ssp585,2025,tasmax,24.773695
China,ssp126,2026,tasmax,24.20895,,ssp370,2026,tasmax,24.33235,,ssp585,2026,tasmax,24.810925
China,ssp126,2027,tasmax,24.11548,,ssp370,2027,tasmax,24.320555,,ssp585,2027,tasmax,24.90904
China,ssp126,2028,tasmax,24.225815,,ssp370,2028,tasmax,24.39914,,ssp585,2028,tasmax,24.954895
China,ssp126,2029,tasmax,24.193865,,ssp370,2029,tasmax,24.355485,,ssp585,2029,tasmax,24.8907
China,ssp126,2030,tasmax,24.358715,,ssp370,2030,tasmax,24.50015,,ssp585,2030,tasmax,25.083375
China,ssp126,2031,tasmax,24.30185,,ssp370,2031,tasmax,24.434065,,ssp585,2031,tasmax,25.07353
China,ssp126,2032,tasmax,24.354065,,ssp370,2032,tasmax,24.490095,,ssp585,2032,tasmax,25.04875
China,ssp126,2033,tasmax,24.346375,,ssp370,2033,tasmax,24.558305,,ssp585,2033,tasmax,25.133715
China,ssp126,2034,tasmax,24.423785,,ssp370,2034,tasmax,24.55176,,ssp585,2034,tasmax,25.159455
China,ssp126,2035,tasmax,24.454955,,ssp370,2035,tasmax,24.649535,,ssp585,2035,tasmax,25.232525
China,ssp126,2036,tasmax,24.501435,,ssp370,2036,tasmax,24.690355,,ssp585,2036,tasmax,25.36275
China,ssp126,2037,tasmax,24.477995,,ssp370,2037,tasmax,24.79079,,ssp585,2037,tasmax,25.326585
China,ssp126,2038,tasmax,24.568785,,ssp370,2038,tasmax,24.826525,,ssp585,2038,tasmax,25.41922
China,ssp126,2039,tasmax,24.546475,,ssp370,2039,tasmax,24.82353,,ssp585,2039,tasmax,25.47752
China,ssp126,2040,tasmax,24.618665,,ssp370,2040,tasmax,24.854785,,ssp585,2040,tasmax,25.492965
China,ssp126,2041,tasmax,24.45735,,ssp370,2041,tasmax,24.88878,,ssp585,2041,tasmax,25.6037
China,ssp126,2042,tasmax,24.553285,,ssp370,2042,tasmax,24.888535,,ssp585,2042,tasmax,25.615265
China,ssp126,2043,tasmax,24.607925,,ssp370,2043,tasmax,25.06403,,ssp585,2043,tasmax,25.686645
China,ssp126,2044,tasmax,24.601135,,ssp370,2044,tasmax,25.05261,,ssp585,2044,tasmax,25.638505
China,ssp126,2045,tasmax,24.65828,,ssp370,2045,tasmax,25.166185,,ssp585,2045,tasmax,25.73004
China,ssp126,2046,tasmax,24.690535,,ssp370,2046,tasmax,25.18454,,ssp585,2046,tasmax,25.83078
China,ssp126,2047,tasmax,24.584195,,ssp370,2047,tasmax,25.209655,,ssp585,2047,tasmax,25.822345
China,ssp126,2048,tasmax,24.739425,,ssp370,2048,tasmax,25.30565,,ssp585,2048,tasmax,25.91649
China,ssp126,2049,tasmax,24.7231,,ssp370,2049,tasmax,25.412735,,ssp585,2049,tasmax,26.041445
China,ssp126,2050,tasmax,24.795045,,ssp370,2050,tasmax,25.348675,,ssp585,2050,tasmax,26.153825
China,ssp126,2051,tasmax,24.641905,,ssp370,2051,tasmax,25.419295,,ssp585,2051,tasmax,26.17239
China,ssp126,2052,tasmax,24.78244,,ssp370,2052,tasmax,25.46138,,ssp585,2052,tasmax,26.282805
China,ssp126,2053,tasmax,24.71504,,ssp370,2053,tasmax,25.46013,,ssp585,2053,tasmax,26.348005
China,ssp126,2054,tasmax,24.76289,,ssp370,2054,tasmax,25.59317,,ssp585,2054,tasmax,26.457745
China,ssp126,2055,tasmax,24.74034,,ssp370,2055,tasmax,25.63591,,ssp585,2055,tasmax,26.34459
China,ssp126,2056,tasmax,24.849,,ssp370,2056,tasmax,25.58516,,ssp585,2056,tasmax,26.43196
China,ssp126,2057,tasmax,24.795165,,ssp370,2057,tasmax,25.644775,,ssp585,2057,tasmax,26.420835
China,ssp126,2058,tasmax,24.89713,,ssp370,2058,tasmax,25.7229,,ssp585,2058,tasmax,26.59758
China,ssp126,2059,tasmax,24.80289,,ssp370,2059,tasmax,25.7697,,ssp585,2059,tasmax,26.68376
China,ssp126,2060,tasmax,24.72568,,ssp370,2060,tasmax,25.82434,,ssp585,2060,tasmax,26.680035
China,ssp126,2061,tasmax,24.79448,,ssp370,2061,tasmax,25.93515,,ssp585,2061,tasmax,26.72205
China,ssp126,2062,tasmax,24.74593,,ssp370,2062,tasmax,25.947325,,ssp585,2062,tasmax,26.732285
China,ssp126,2063,tasmax,24.821945,,ssp370,2063,tasmax,25.899005,,ssp585,2063,tasmax,26.9615
China,ssp126,2064,tasmax,24.73256,,ssp370,2064,tasmax,25.967195,,ssp585,2064,tasmax,26.977405
China,ssp126,2065,tasmax,24.82573,,ssp370,2065,tasmax,26.125045,,ssp585,2065,tasmax,27.062665
China,ssp126,2066,tasmax,24.821225,,ssp370,2066,tasmax,26.18692,,ssp585,2066,tasmax,27.07332
China,ssp126,2067,tasmax,24.851135,,ssp370,2067,tasmax,26.313525,,ssp585,2067,tasmax,27.23859
China,ssp126,2068,tasmax,24.831495,,ssp370,2068,tasmax,26.197235,,ssp585,2068,tasmax,27.13467
China,ssp126,2069,tasmax,24.898465,,ssp370,2069,tasmax,26.289065,,ssp585,2069,tasmax,27.302015
China,ssp126,2070,tasmax,24.875275,,ssp370,2070,tasmax,26.298325,,ssp585,2070,tasmax,27.43263
China,ssp126,2071,tasmax,24.821,,ssp370,2071,tasmax,26.33957,,ssp585,2071,tasmax,27.53325
China,ssp126,2072,tasmax,24.865125,,ssp370,2072,tasmax,26.49484,,ssp585,2072,tasmax,27.55014
China,ssp126,2073,tasmax,24.93013,,ssp370,2073,tasmax,26.493,,ssp585,2073,tasmax,27.709015
China,ssp126,2074,tasmax,24.83624,,ssp370,2074,tasmax,26.60054,,ssp585,2074,tasmax,27.84631
China,ssp126,2075,tasmax,24.787655,,ssp370,2075,tasmax,26.590115,,ssp585,2075,tasmax,27.81534
China,ssp126,2076,tasmax,24.862565,,ssp370,2076,tasmax,26.69208,,ssp585,2076,tasmax,27.82021
